Epoch 469, Loss 2.334272861480713
Epoch 470, Loss 2.3340134620666504
Epoch 471, Loss 2.3337557315826416
Epoch 472, Loss 2.333500862121582
Epoch 473, Loss 2.333247423171997
Epoch 474, Loss 2.3329949378967285
Epoch 475, Loss 2.3327441215515137
Epoch 476, Loss 2.332496404647827
Epoch 477, Loss 2.3322505950927734
Epoch 478, Loss 2.33200740814209
Epoch 479, Loss 2.3317668437957764
Epoch 480, Loss 2.3315296173095703
Epoch 481, Loss 2.331294536590576
Epoch 482, Loss 2.3310630321502686
Epoch 483, Loss 2.3308348655700684
Epoch 484, Loss 2.330610990524292
Epoch 485, Loss 2.3303890228271484
Epoch 486, Loss 2.330170154571533
Epoch 487, Loss 2.329953670501709
Epoch 488, Loss 2.329739809036255
Epoch 489, Loss 2.3295280933380127
Epoch 490, Loss 2.329317331314087
Epoch 491, Loss 2.329108476638794
Epoch 492, Loss 2.328901767730713
Epoch 493, Loss 2.32869815826416
Epoch 494, Loss 2.328495740890503
Epoch 495, Loss 2.328294038772583
Epoch 496, Loss 2.3280975818634033
Epoch 497, Loss 2.3279037475585938
Epoch 498, Loss 2.327709674835205
Epoch 499, Loss 2.32751727104187
Test Loss: 3.3940327167510986
